"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3660557","2020","AL","Alabama","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.5","","","22.1","25.0","1252","Overall","Overall","ADDEPEV3","3","3","","","","","",""
"3665154","2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.9","","","14.0","17.8","566","Overall","Overall","ADDEPEV3","4","4","","","","","",""
"3665887","2020","AZ","Arizona","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.4","","","16.4","18.4","1867","Overall","Overall","ADDEPEV3","5","5","","","","","",""
"3657717","2020","AR","Arkansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.5","","","21.8","25.2","1116","Overall","Overall","ADDEPEV3","6","6","","","","","",""
"3671227","2020","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.1","","","12.8","15.4","758","Overall","Overall","ADDEPEV3","7","7","","","","","",""
"3680097","2020","CO","Colorado","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.4","","","17.6","19.4","1836","Overall","Overall","ADDEPEV3","8","8","","","","","",""
"3678157","2020","CT","Connecticut","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.5","19.0","1649","Overall","Overall","ADDEPEV3","9","9","","","","","",""
"3697685","2020","DE","Delaware","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.6","","","14.0","17.1","654","Overall","Overall","ADDEPEV3","10","10","","","","","",""
"3693739","2020","DC","District of Columbia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","17.9","21.7","621","Overall","Overall","ADDEPEV3","11","11","","","","","",""
"3693895","2020","FL","Florida","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.7","","","13.4","16.0","2038","Overall","Overall","ADDEPEV3","12","12","","","","","",""
"3689399","2020","GA","Georgia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.2","","","15.9","18.5","1618","Overall","Overall","ADDEPEV3","13","13","","","","","",""
"3704988","2020","HI","Hawaii","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","12.7","","","11.7","13.7","1098","Overall","Overall","ADDEPEV3","14","14","","","","","",""
"3712091","2020","ID","Idaho","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.9","","","17.4","20.3","1058","Overall","Overall","ADDEPEV3","15","15","","","","","",""
"3701520","2020","IL","Illinois","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.7","","","13.1","16.3","509","Overall","Overall","ADDEPEV3","16","16","","","","","",""
"3713582","2020","IN","Indiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.9","","","20.8","23.0","1753","Overall","Overall","ADDEPEV3","17","17","","","","","",""
