YEAR,STATE,imfant mortality 100k,DEATHS_x,homicides per 100k,DEATHS_y,overdose deaths per 100k,deadly overdoses,suicide per 100k,total suicides,lifeExpectancey,percent use cigerrets,Sample_Size,Gallons of Ethanol per Capita,Driving Fatalities Involving Alcohol (Percentage),Excessive Drinking rate (Percentage),Recent Trend,cancer casees per 100k,Average Anual Cancer Patients,rate of cancer increase,% deppressed
2021,AL,7.56,439,15.9,748,30.1,1408,15.8,827,,20.2,"6,744",2.08,25.9,14.8,falling,440.7 ,27148,-0.6 ,22.4
2021,AK,7.37,69,6.4,49,35.6,260,30.8,220,,17.4,"2,849",2.83,36.9,18.1,stable,421.3 ,3124,0.1 ,19.7
2021,AZ,5.47,426,8.1,562,38.7,2730,19.5,1475,,14.9,"8,468",2.24,22.3,17.4,falling,376.6 ,33768,-0.7 ,17.5
2021,AR,8.59,309,11.7,335,22.3,637,20.6,618,,20.2,"5,116",1.92,25.7,15.9,rising,467.5 ,17563,1.0 ,24.6
2021,CA,4.07,1713,6.4,2495,26.6,10901,10.1,4148,,10.0,"10,861",2.63,27.7,18.8,stable,394.7 ,174052,-0.6 ,15.2
2021,CO,4.99,314,6.3,368,31.4,1887,22.8,1384,,13.5,"8,664",2.97,34.0,20.1,stable,391.7 ,24801,0.2 ,20.4
2021,CT,4.65,166,4.8,160,42.3,1552,10.0,401,,12.1,"8,665",2.5,30.4,19.2,falling,458.2 ,21269,-0.6 ,18.0
2021,DE,4.77,50,11.3,103,54.0,513,13.6,137,,15.9,"3,705",4.01,25.0,20.5,falling,457.8 ,5963,-1.2 ,16.4
2021,FL,5.9,1275,7.4,1468,37.5,7827,14.0,3351,,14.8,"15,824",2.74,22.0,20.2,falling,452.4 ,135952,-0.4 ,
2021,GA,6.25,776,11.4,1206,23.5,2500,15.3,1676,,16.3,"6,847",1.91,20.7,17.8,stable,463.8 ,54354,-0.1 ,17.7
2021,HI,4.67,73,2.7,39,17.3,269,13.7,202,,12.3,"7,396",2.71,31.5,20.7,stable,413.9 ,7587,-0.1 ,11.1
2021,ID,5.13,115,2.2,41,19.0,354,20.5,387,,15.3,"5,304",2.1,31.5,19.6,stable,444.9 ,9122,0.4 ,22.6
2021,IL,5.62,743,12.3,1487,29.0,3762,11.1,1454,,14.5,"5,338",2.42,28.8,22.9,stable,459.7 ,70160,-0.1 ,17.0
2021,IN,6.75,540,9.6,624,43.0,2811,16.4,1129,,19.2,"8,427",2.34,19.0,17.7,data not available,data not available ,data not available,data not available,24.2
2021,IA,3.99,147,3.2,94,15.3,475,17.5,549,,16.4,"9,467",2.34,26.8,24.6,rising,486.8 ,19197,1.0 ,17.7
2021,KS,5.3,184,6.4,180,24.3,680,19.4,560,,16.2,"10,814",2.12,19.4,20.0,falling,453.9 ,15648,-0.5 ,20.6
2021,KY,6.15,321,9.6,408,55.6,2381,17.9,816,,23.6,"7,735",2.12,25.5,18.2,stable,506.8 ,27911,-0.3 ,27.0
2021,LA,7.24,416,21.3,943,55.9,2463,14.8,689,,21.9,"4,456",2.59,31.2,21.9,rising,478.3 ,26491,0.8 ,24.5
2021,ME,5,60,1.7,20,47.1,611,19.5,277,,17.6,"11,048",2.99,34.4,22.5,stable,473.4 ,9293,-0.1 ,23.6
2021,MD,5.99,409,12.2,709,42.8,2737,9.7,620,,12.7,"16,547",2.15,28.3,16.0,stable,449.7 ,32760,-0.2 ,16.6
2021,MA,3.23,223,2.3,160,36.8,2585,8.0,604,,12.0,"7,394",2.62,30.5,22.5,stable,449.4 ,38719,-0.4 ,18.6
2021,MI,6.22,653,8.7,822,31.5,3089,14.3,1485,,18.7,"10,181",2.53,29.2,20.5,falling,438.2 ,55927,-1.1 ,22.6
2021,MN,4.83,311,4.3,232,24.5,1356,13.9,808,,14.6,"14,884",2.85,29.9,23.4,rising,473.3 ,31958,0.9 ,20.5
2021,MS,9.39,330,23.7,656,28.4,787,16.2,480,,20.4,"4,945",2.39,18.5,15.9,stable,465.4 ,16781,0.2 ,20.0
2021,MO,5.85,406,12.4,716,36.5,2155,18.7,1177,,19.6,"7,088",2.68,27.6,19.5,falling,449.8 ,34586,-0.6 ,22.8
2021,MT,4.9,55,4.4,46,19.5,199,32.0,350,,16.6,"6,299",3.32,46.4,24.3,falling,457 ,6461,-0.4 ,22.8
2021,NE,5.49,135,3.6,70,11.4,214,15.0,288,,14.7,"15,301",2.17,33.2,23.2,rising,459.1 ,10374,0.8 ,17.5
2021,NV,5.76,194,8.5,264,29.2,949,21.5,691,,15.7,"2,702",3.43,27.3,19.5,data not available,data not available ,data not available,data not available,17.0
2021,NH,3.96,50,0.0,15,32.3,441,15.1,223,,15.9,"5,481",4.83,33.1,20.8,falling,476 ,8767,-0.6 ,23.4
2021,NJ,3.57,362,4.8,409,32.4,3056,7.1,688,,,,2.63,22.8,16.0,falling,481.9 ,53389,-0.5 ,17.5
2021,NM,4.77,102,15.3,306,51.6,1052,25.0,533,,16.0,"5,746",2.3,29.4,17.4,stable,369 ,9672,-0.3 ,19.8
2021,NY,4.16,876,4.8,918,28.7,5842,7.9,1660,,12.7,"13,230",2.22,20.2,19.0,falling,474.4 ,114869,-0.5 ,17.0
2021,NC,6.72,809,9.7,991,39.2,3981,13.2,1448,,18.5,"4,131",2.31,25.9,16.5,falling,464.4 ,59215,-0.4 ,21.3
2021,ND,2.77,28,3.4,24,17.2,124,20.8,156,,17.0,"5,427",3.26,41.4,24.1,stable,452.3 ,3932,-0.3 ,19.5
2021,OH,7.06,916,9.3,1020,48.1,5397,14.6,1766,,20.8,"12,925",2.12,32.5,20.7,rising,465.3 ,69011,0.5 ,22.0
2021,OK,7.13,345,8.9,342,24.4,960,22.1,877,,18.9,"6,036",1.85,26.8,14.5,stable,443.4 ,20658,-0.1 ,24.4
2021,OR,3.79,155,4.9,204,26.8,1171,19.5,889,,14.5,"5,873",2.71,27.9,21.2,falling,419.2 ,22328,-0.7 ,24.6
