"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"4605116","2021","US","All States, DC and Territories (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.4","**","** Median value reported with no confidence intervals.","","","53","Overall","Overall","ADDEPEV3","1","1","","","","","",""
"4610676","2021","UW","All States and DC (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.5","**","** Median value reported with no confidence intervals.","","","50","Overall","Overall","ADDEPEV3","2","2","","","","","",""
"4380165","2021","AL","Alabama","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.4","","","20.7","24.0","944","Overall","Overall","ADDEPEV3","3","3","","","","","",""
"4383724","2021","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.7","","","18.1","21.4","994","Overall","Overall","ADDEPEV3","4","4","","","","","",""
"4378076","2021","AZ","Arizona","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.5","","","16.4","18.5","1882","Overall","Overall","ADDEPEV3","5","5","","","","","",""
"4390464","2021","AR","Arkansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.6","","","22.8","26.4","1135","Overall","Overall","ADDEPEV3","6","6","","","","","",""
"4400147","2021","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.2","","","14.1","16.4","1062","Overall","Overall","ADDEPEV3","7","7","","","","","",""
"4398155","2021","CO","Colorado","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.4","","","19.5","21.4","2072","Overall","Overall","ADDEPEV3","8","8","","","","","",""
"4398518","2021","CT","Connecticut","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.0","","","16.8","19.2","1603","Overall","Overall","ADDEPEV3","9","9","","","","","",""
"4417334","2021","DE","Delaware","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.4","","","14.7","18.0","578","Overall","Overall","ADDEPEV3","10","10","","","","","",""
"4413666","2021","DC","District of Columbia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.5","","","18.6","22.5","595","Overall","Overall","ADDEPEV3","11","11","","","","","",""
"4405822","2021","GA","Georgia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.4","19.0","1443","Overall","Overall","ADDEPEV3","13","13","","","","","",""
"4421512","2021","HI","Hawaii","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","11.1","","","10.2","12.1","928","Overall","Overall","ADDEPEV3","14","14","","","","","",""
"4427963","2021","ID","Idaho","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.6","","","21.3","23.9","1417","Overall","Overall","ADDEPEV3","15","15","","","","","",""
"4425795","2021","IL","Illinois","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.0","","","15.2","18.7","533","Overall","Overall","ADDEPEV3","16","16","","","","","",""
"4441004","2021","IN","Indiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.2","","","23.0","25.2","2186","Overall","Overall","ADDEPEV3","17","17","","","","","",""
"4433343","2021","IA","Iowa","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.7","18.8","1551","Overall","Overall","ADDEPEV3","18","18","","","","","",""
"4435433","2021","KS","Kansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.6","","","19.8","21.4","3253","Overall","Overall","ADDEPEV3","19","19","","","","","",""
"4453413","2021","KY","Kentucky","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","27.0","","","25.4","28.7","1339","Overall","Overall","ADDEPEV3","20","20","","","","","",""
"4450755","2021","LA","Louisiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.5","","","22.9","26.2","1216","Overall","Overall","ADDEPEV3","21","21","","","","","",""
"4457395","2021","ME","Maine","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.6","","","22.4","24.8","2612","Overall","Overall","ADDEPEV3","22","22","","","","","",""
"4475035","2021","MD","Maryland","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.6","","","15.7","17.4","2608","Overall","Overall","ADDEPEV3","23","23","","","","","",""
"4464170","2021","MA","Massachusetts","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.6","","","17.4","19.7","1520","Overall","Overall","ADDEPEV3","24","24","","","","","",""
